Question	Potentially_Pejorative
有100多万个小偷骗子？	None
真的换来我们站起来了吗？我咋被996压弯了腰？	None
想知你对他做成什么损失？骗财骗色？	None
东北三亚怎么来的？	None
这个吧有专门的QQ群吗？	None
微博吗？再正常不过了	None
地球是一个赤道略鼓两极稍扁的不规则的球体，不是圆🙄初中地理听过课吗？	None
先把弹弓，砌墙开放了再说吧，还有鞭炮，小男孩连刀枪棍棒都不让玩，只会玩手办，哪来的阳刚气魄？	None
没有广西吗？	None
恶意p图现在又想反咬一口？？？？你脑子有大病	None
你的回复我看不到？	None
在中国动手你想坐牢？	None
hub么？我在国外都不用翻墙🐶	None
你搁发廊作市场调研是吧，剩下的一个是不是扫黄的警察？说实话是不是集体蹲墙角刚被放出来？	None
作者你有父母吗？来把匿名打开，你在那装你妈	None
你为什么没去打工？	None
啥，东北也内斗？🤣	None
他们想上吗？	None
日韩女权已经用事实证明过了的东西，还需要相信他们的理论？	None
不少啊，但最起码有自知之明就是好的，你能不能看一看图片上的题目？	None
又累又毒的环境你们受得了？	None
潮汕是哪里？	None
冬天南方冷，您确定？	None
盲目移民很正常？欧洲都深受其害，禁止移民难民	None
我的好几个贴，都被删除了，会不会是这玩意举报的？	None
急了急了，就会这两句？看你评论全是黑南方的，估计智商也高不到哪里去	None
那是因为大家都会一脸懵逼的说，青海在哪？？？	None
不过为啥发到这个吧？我还以为是自行车吧	None
如何评价这张图是妆后五分女？刘亦菲十分我觉得顶天三分	None
？什么情况，答主不是男的吗？	None
反正我不当冤大头?	None
得了 ，就你还理智？也不看看自己是什么样子	None
这就上纲上线到做风问题了？你在部队班长踢你一脚骂你一句你岂不是要闹到师长那？你在部队该不会学的是打小报告专业吧	None
上面的度°C别在那洗了，刷屏不是你们干的？别搞笑了好吗，想看开始什么样多刷几页帖子就能看到，少往自己脸上贴金	None
所以他是男的吗？像个小屁孩啊	None
这件事大家抨击的是动画片，怎么变成南方北方了？谁在这挑拨离间呢？	None
新疆怎么了？	None
北欧三国是怎么积累财富的？	None
女性的名声是谁败坏的你心里没数？	None
你不是说上一个帖子是你的最终解释吗？解释完了你能不能别发了？或者换张图发点新的？	None
问题不是男的可以自己生，还要结婚吗？	None
看不起你了？	None
所以你承认之前视频里面的是你了？	None
翻墙会拉去喝茶吗？	None
跪舔的小号，装什么大瓣蒜，连自己是什么东西都不知道？	None
你见过吗？	None
这个作者一口一个中国女性，他只是在说女权?	None
最少一个亿，你把浙江放哪儿了？福建呢🤣先把数学学好	None
现在丁克也很多呀，他们也没有孩子，难道也是自私吗？	None
男性应该打HPV疫苗吗？	None
这跟海有什么关系？青海也不是海啊	None
重点不是威胁吗？😅能把自己违规说成被威胁的没见过	None
国内比不上国外？	None
你遇到一两个就代表全部了?	None
你既然都知道答案了，还来问题主？	None
请问你是自己见过，还是经历过？	None
回族不算被黑的吧？毕竟除了关外，回族在哪儿都挺强势的，唐山条约我还记得呢	None
瘫痪男子在家8天被饿死，妻女被判刑，到现在，都没有热搜，男性要是婚姻得益者，怎么还有饿死的？就知乎火了	None
明星有多高尚？	None
想知道这个有没有科学依据啊？混血真会智力什么的不如不混血的啊？	None
你圈子里没有就代表没有？	None
突然觉得彩礼贷香起来了，你们觉得呢？	None
咱也不懂，啥时候湖北是中原了？	None
那个吧真恶心?	None
楼主别急，我先溜条?	None
大庆不是黑龙江的吗？放眼东北甚至整个中国，有哪个城市敢说自己比大庆更富有？	None
只因怕打针，爸爸狠摔亲生孩子，男子气概？父爱？	None
