Question	Potentially_Pejorative
"""""你自认无辜被连累了，女性还无辜被杀呢。你让女性谅解你，那又有谁来保证女性的安全？既然都是受害者，你咋不去问责那些连累你的人，来这委屈个鬼。卖惨也得找对地方，“你们女性只是被杀了而已，可没杀人的男性可是被骂了呢！！”"	Potentially
"""""我已经说了，选择并不是“凭努力”和“走捷径”，而更可能是“答应权色交易”和“毁了你的人生”。只有地位权利对等的人才可能拥有平等的，可拒绝的交易，而这一点不可能发生在韦恩斯坦和一个演艺界的nobody身上。不然张紫妍为何选择自杀？"	Potentially
“我们那里有吃蛇肉和田鼠的”“你家是广东的吗？”“啥意思？你地域黑？”“......”我也不知道我是不是地域黑，我只知道在深圳广州这边不止一次两次听不同的人不同年龄的人说湖南女人的事.... 就好比有人说井盖我联想到河南一样，只是听多了而已	Potentially
世界都是被你们这帮看热闹不嫌事大的熊孩子搞臭了。搞什么搞，总以为有人想害你。老实说，企业雇人，靠专业说话。应聘时不想因亚裔受歧视，受命时也不应想着因亚裔受照顾不是？这是一个生命没能过自己那关，跟民族阶级身份有这么关系，这不是无事生非吗？！	Potentially
人家easy不easy也不关你事啊233像个三姑六婆似的，不给人家和你口中的黑奴白皮猪在一起，难不成还和你们这种典型葡萄酸心理还带种族歧视的屌丝在一起啊？要我说，国内优秀的男人也会有很多女生喜欢，这完全就是看个人能力，屌丝就不要意淫了。	Potentially
吃多了撑的没事儿干，每天装最会维权的 人家好心好意抽奖被扣上顶帽子换谁都炸。可能在网上做这些事能让她们带入进生活的获得满足感吧？ 大义凛然，特别有思想的感觉。我是不知道这社会女生受了多大歧视了每天被迫害妄想症。谁来给我说道说道所谓女权是追求哪些权呢？？	Potentially
吐。如果遇到事直接告到大院去讲契约精神，你猜这个剧还剩几分真实？还会有这么热播？还会有人陪你在这儿争论？开玩乐，还南方北方，真够恶心的。再告诉你件事，别自己在江浙沪呆着就自称南方人，在海南人眼里，统称大陆妹，广东以北都是北方人！可笑！	Potentially
哈哈哈哈啥，你这个快笑死我了，拿人家几百年的积累跟我们几十年的发展相比较，这踏马也叫要脸？还有她说的自由民主，我也就呵呵了，你让她去跟信奉基督教的教授讨论基督教到底是耶稣怎么编的，要么你让她跟人讨论黑人跟黄种人和白人比就是爱犯罪，你看她能不能吃饭明天的牢饭	Potentially
哪来的优越感啊？生个混血白娃一堆人夸好看，反过来歧视黑人？？？？？双标这招国人玩的一直很好，女生找黑人引以为耻，男生找黑妞就引以为傲？？？男的找个黑人老婆生的孩子黑不溜秋的都tm上新闻了，也没见人去谴责，	Potentially
大家谁都不想地域黑，可您看新闻上的某些云南人！拦路抢劫、哄抢货车翻车留下的货物。还有前一段拿钱打人家重庆老板的脸，最他妈可气的是你打完人家到把钱给人家呀！又拿回去算什么？还有一些网友回复什么：没求着你们来。这不是火上浇油是什么！我天	Potentially
女权婊，是懒惰，垃圾的代名词，她们想享受富足的物质生活，又不想吃苦，现在多了一个不生小孩，是对国家和社会的不负责！自私自利，而且崇洋媚外！她们没有尊严，没有人格，有的只是被欲望控制的一副皮囊，以及不知所谓的优越感，从来不会想要是他父母不结婚，哪里来的她？	Potentially
如何看待女性在恋爱期间吸男性的血，寄生在男性身体上？什么都是男的在付出，女的只会享受，跟寄生虫一样，如何看待女性左手拿男女平等要好处，右手拿我是女人，你是男人你应该干，这种无耻行为？你告诉我你怎么看？	Potentially
"我认为“黑命贵”是讨要权利最单纯的方法，其效果和农民起义差不多，没有就抢，没有就闹。实在很低级。为什么会出现这种情况呢？说没知识的，我觉得并不算对。很多事儿不是知识，而是经验，历史。黑人没有历史，"""	Potentially
我试想过一种场景，如果我岳父是李嘉诚那种级别的，养育的所有费用都是女方承担，我巴不得孩子跟母性呢，但是现实情况是，你经济上不独立，要这要那，花巨资娶进来，又给彩礼，结果生了孩子你跟我说，随母姓？你特么逗我呢	Potentially
极端女权真的可怕。仿佛跟男性扯上一点关系的女性就是令人作呕、没有思想的工具人。女权并不意味着要去鼓动男女对立，强行剥夺男性人权就是政治正确吧？你要争取平等这个没毛病，但是想把男性都踩到脚底当狗，又去攻击女性，是不是太过于双标？你们极端女权也不是真心想争取所谓权利，只想为所欲为。	Potentially
没素质，问人家传统淑女被性侵了怎么办，小心人家丈夫/父亲/兄弟揍你。这就是你们女权女的尊重女性吗？一切女人谁都像女权女一样贱和骚吗？性侵这种事，基本不可能发生在家教优良的传统淑女身上，不要拿极小概率事件代表常态	Potentially
美国那么乱，尤其是黑人社区，街上就没有混混找怪物的麻烦？那种经常街上打架的混混也从没见找怪物的麻烦。还有那种自成一个黑帮势力的怪物，或者占领一个区的恶魔，也没见和当地人类黑帮有过冲突枪战。拜托这是美国啊！！	Potentially
说的很对，我是女生但是我很赞成你说的。现在很多女生都是打着女权主义的幌子争取高于男性的权利，说什么都是对的，做什么都是应该的，要么就是拿生孩子来说事，我就纳闷了，生不生不都是自己的选择吗？还能逼着硬生?	Potentially
说这句话真有意思…… 这不就是说河南人偷井盖，东北人都是社会人，黑人都比较懒，……。你可以说是大概率事件，但是每个地方教育环境不一样，每个人也不一样，所以我认为你说的太片面，美国的老师也是这样？	Potentially
谁也没说山东话不好，你也太敏感了吧，另外会说山东话就要自豪咋的，还说人家蛮夷，你这不是地域黑？人家只是要想说好普通话而已，你就上纲上线还扯到地区荣誉感了，可真是逗。而且你山东人你骄傲但是贬低别人蛮夷真的好么？	Potentially
还是看证据吧，现在很多人就是趁着运动泼脏水，也有人放大了自己的感受。本来性骚扰的定义，主观感受占了很大一部分。你以为自己说了个笑话，人家觉得你就是性骚扰了呢。如果女性说你性骚扰，作为男性能有多大的辩解空间呢？！几乎为零。因为大众心理上认为男性强势，男性就是喜欢骚扰女性的。	Potentially
这个民政局就在我家附近，谁特么说的广西女性地位低，这只是个例好吗，这种事我也特少见。像山东等北方一些地方结婚闹伴娘，婚礼猥亵女性，恶俗婚礼，新娘和公公亲嘴，恶心得一逼，这就是尊重女性？我们两广可不会发生这些事。	Potentially
高吗？白人认为黑人就只能当奴隶，是黑人一步步流着血才慢慢争取了一点点微薄的权利，白人的国家先天就排除黑人，只能在社会最底层，除了极少数，绝大多数人上升通道早被堵死了，黑人的唯一出路就是回到非洲大地，	Potentially
"""一种是用似是而非的话术配合女拳的特权要求，比如""""xxx的还算男人？""""，""""赚钱养家，貌美如花""""。本质上是""""高情商舔狗""""。一种是用早就被批判烂的封建话术搞极端，""""女子无才便是德""""，"""	Potentially
404了，顺便回一句山东搞这种操作也不是一两次了，几乎是次次都是，有本事就自己做好自己。我们不是山东的这么看是不了解，山东的这么看怎么说？你把自己该做的没做好却怪别人去说你没做好？地域黑？你次次这样怪我们地域黑？	Potentially
chink这个词是英语中公认的不分语境的种族歧视词语。不分语境，懂吗？就是不管你在什么情况下说出这个词，就是种族歧视。不管你是开玩笑，打趣，和人斗嘴，还是对骂。还把这个词和日本鬼子相提并论？！	Potentially
不是针对所有印度人，但是有一天在地铁上被一个印度人熏的，感觉这辈子都没闻过这么恶心的味，当时脑袋就开始疼，香水混着汗水？好像还有点别的，要知道我当年可是坐在没发酵好的鸡粪堆上吃过饭的选手。。。。	Potentially
中国人被敌视和黑人被歧视的理由根本不一样，大部分中国人在外面老老实实的还是被歧视。但其实大部分白人之类的对我们的歧视对正常人根本产生不了伤害，谁会把一群傻逼的想法当真？反正我们又不在他们的国家。	Potentially
之前--明明每个地方都有好人坏人，为什么总说我们的不是啊，明明我没有干过这些事情，为什么我要承担骂名？大家理性客观一点不好吗？[小情绪] 现在--你说得对，我们东北人均黑社会，来信砍，芜湖！[开心]	Potentially
人性自私到极点，留学生不回国，无家无归，等死吗？这帮人当初歧视武汉人，歧视湖北人，现在又开始歧视留学生。 媒体带节奏也是很厉害，动不动发一些不守规矩的人，然后带节奏不希望别人回来。 在英国喝意大利留学的人，就活该去死吗？？？	Potentially
你可以假装高贵也请你别打着谁谁谁的名义叽叽歪歪，笑死了我什么时候打着柚子名义惹是生非，打着为国拉cp惹事生非的谁啊？与人为善也要对方是良善之辈或者有智慧的，比如那种只会拉偏架的国籍粉，省省吧，少写cp文，少在比赛后没上领奖台和北美粉背后黑人就谢谢了	Potentially
你呀 别给你们东北人招黑了都二十一世纪了还在那bb动手动手的 只会让人觉得你们东北人只发育了四肢没发育大脑 这年头打架的成本多高没想过？能讲道理解决的事情你去动手？警察干嘛的 ？中国法律干嘛的？	Potentially
你的逻辑也是提神，同性恋乱搞是因为社会压迫？？不压迫就不乱搞了？是因为歧视所以乱搞还是因为乱搞所以被大家歧视搞清楚。怎么跟软美国黑人一样，不从自己身上找原因，有点被歧视就开始打砸抢等着被尊重？	Potentially
其实武汉养起来对整个湖北都是好事，但是武汉起来后，却没有带动整个湖北，要不然为什么湖北人大多数都不喜欢武汉呢？毕竟武汉的发展分走了湖北其他地区的大部分发展机会，不过有一说一武汉好人也挺多的，也不缺臭流氓，教育大省，都是给别的省培养人才了	Potentially
切，啥城市？带上海节奏？十年前马路就没上海人了没必要这么阴阳怪气。CBA外援泰劳森在星巴克骂人也没见被打啊，新冠高峰期间插队的那个黑人呢？说到底不还是整个黄种人群最近50年根本就没打过这种跨人种翻身仗么。	Potentially
北京不也是一副看不起外地人？我北上广深还有其他很多二线城市都去过，别的地方像什么飞机火车的态度不差，几次遇到北京的，问问题以一副鄙视的态度看着，还有一次检查我证件我走不远明显听到那个女的说土包子，而广东的好很多。	Potentially
可是，我的主要意思是你们黑人女人我根本都不能将之与雌性人类联想起来啊。每个人作为一个个体，接触范围之外就已经跟火星差不多了，微博？那还是人吗？一个个发言的账号而已，黑鬼，白皮，猴子，棒子，小鬼子，大毛子？别伤了你这个小xx的心哟。	Potentially
