topic_en,topic,idx,q,a,context,datatype,attitude,group,split
gender,性别,12435,当知道自己是性少数群体后，你做了哪些努力让自己变得更优秀？,我想变得优秀起来不是因为自己是同性恋，就算是直男也会努力充实自己，变得优秀起来。,1,1,1,性少数群体,train
gender,性别,9264,做数据分析的女孩子，职业发展前景在哪里？数据分析枯燥吗？,同为女生，个人观点，如果你对数据分析有热情的话，女生真的真的很适合。,0,1,1,女性职业,train
gender,性别,9155,做数据分析的女孩子，职业发展前景在哪里？数据分析枯燥吗？,不要觉得女性就一定比别人差很多！,0,2,1,女性职业,train
gender,性别,7586,如何看待女生不满「男生喜欢温柔贤惠一点的暖妹子」？,之前在朋友圈晒厨艺的时候，常常被夸贤惠。,1,2,1,反感贤惠,train
gender,性别,8027,是不是男生都觉得男男同性恋很恶心？,不，我的兄弟们都能接受我是同性恋，而且我们没有隔阂。,0,1,1,同性恋,train
gender,性别,12277,作为一名性少数者，你有想哭的时候吗？,我妈知道我几个关系好的小朋友是出柜的gay/les，她从未表达过任何不满或微词，对我的朋友们也很好。,0,1,1,性少数群体,train
gender,性别,12280,作为一名性少数者，你有想哭的时候吗？,并不会为了性向而哭，我打小就这样。,0,1,1,性少数群体,train
gender,性别,9791,为什么有的人（比如部分 PhD 等高学历者）会对家庭主妇有不屑的情绪？,lz你就凭一个案例就黑了所有的phd吗！,1,1,1,家庭主妇/phd,train
gender,性别,7141,为什么被称“贤惠”会很气愤？,这个也分人吧，我24，未婚，就很喜欢别人说我贤惠，我觉得能让未来老公喜欢，认可，就是我的价值。,0,2,1,反感贤惠,train
gender,性别,9510,怕因生孩子而耽误事业的女性，她们的事业有多好？,是不耽误，不如夫妻俩一人休一半带孩子，爸爸对于宝宝成长作用非常重要呢，建议爸爸们多带孩子，给宝宝喂奶哄宝宝睡觉。,1,2,1,女性职业,train
gender,性别,10367,婚姻给了你什么样的勇气去当家庭主妇？,首先，老公顾家有责任心，两人之间的沟通以及三观非常融洽，懂得互相体谅，有了宝宝，不会觉得是自己一个人扛起了所有。,0,1,1,家庭主妇,train
gender,性别,6775,为什么有些女生会反感「贤惠」这个词？,贤惠释义：妇女心地善良，通情达理，对人和蔼。,0,2,1,反感贤惠,train
gender,性别,7300,为什么被称“贤惠”会很气愤？,贤惠一般是夸奖，人家说我贤惠，我并不气愤。,0,2,1,反感贤惠,train
gender,性别,12698,面对性少数（LGBT）群体的平权运动，我们应该有什么样的态度？,人与人之间，还是要靠心来交流的吧。,1,1,1,性少数群体,train
gender,性别,6922,为什么有些女生会反感「贤惠」这个词？,不应该反感。 因为贤惠、温柔这些词，都是对女性最好的评价之一。,0,2,1,反感贤惠,train
gender,性别,9319,关于软件测试工程师所应该具备的能力，就业前景还有适合女生从事吗？,结合自身的经历，感觉女生从事测试还是有一些优势的。,0,2,1,女性职业,train
gender,性别,6422,同性恋会觉得双性恋恶心吗?,根本不会，不如说还挺羡慕双的。,1,1,1,双性恋,train
gender,性别,7151,为什么被称“贤惠”会很气愤？,为什么被夸“贤惠”会很气愤？,0,2,1,反感贤惠,train
gender,性别,7669,同性恋真的完完全全是正常的吗？,同性恋是完完全全正常的。,0,1,1,同性恋,train
gender,性别,8880,三孩政策会使女性在职场中遭遇更多歧视和压力吗？应该怎样的应对？,未必哦，我家已经有三个孩子了，从我家的情况来看，是受不到什么歧视的。,1,2,1,女性职业,train
gender,性别,9168,做数据分析的女孩子，职业发展前景在哪里？数据分析枯燥吗？,同是女孩儿。 职业前景很好。,1,2,1,女性职业,train
gender,性别,9122,你希望自己女朋友的工作职业是什么？,认真做事，喜欢自己职业的女孩子所从事的职业都不错的。,0,2,1,女性职业,train
gender,性别,6965,为什么有些女生会反感「贤惠」这个词？,不会呀，相亲时候对面给我介绍女生经常就是这女生很贤惠，会持家照顾人。,0,2,1,反感贤惠,train
gender,性别,10631,想知道以男性视角，家里有位全职太太（家庭主妇）是种什么感受？,出了门可以思念她，回到家可以看到她，照顾你的一切，解决你所有的后顾之忧，满满的幸福！,1,1,1,家庭主妇,train
gender,性别,8199,女同性恋如何做到 30 岁以后的生活不可悲？,有个啥可悲的呢？ 你不造在姬圈这是最受欢迎的年龄吗？,1,2,1,女同性恋,train
gender,性别,7776,女同性恋如何做到 30 岁以后的生活不可悲？,为什么会悲哀，个人认为拉拉的爱情更为纯粹，不为了传宗接代，不为了sex，不为了单纯陪伴，就是因为我爱你。,0,1,1,同性恋,train
gender,性别,8179,女同性恋如何做到 30 岁以后的生活不可悲？,最重要的大概是，知道自己想要什么并为之努力。,1,1,1,女同性恋,train
gender,性别,9879,为什么有的人（比如部分 PhD 等高学历者）会对家庭主妇有不屑的情绪？,PhD也可以做快乐的家庭主妇好嘛！,0,1,1,家庭主妇,train
gender,性别,7738,同性恋真的让人觉得很恶心吗？,我不排斥同性恋，相反我很喜欢酷酷的很飒的女生。,0,1,1,同性恋,train
gender,性别,10092,如何看待高学历女性成为全职家庭主妇？,我全职六年10个月，大宝8岁，二宝3岁，当初是因为没人帮忙带孩子选择的全职，现在生活满意。,0,1,1,家庭主妇,train
gender,性别,7088,为什么被称“贤惠”会很气愤？,并不气愤，在我们家乡，“贤惠”二字男女通用，指的是主人待客人热情大方。,0,2,1,反感贤惠,train
gender,性别,7178,为什么被称“贤惠”会很气愤？,我虽然是男生，但也经常能听到别人说我贤惠，虽然听起来怪怪的，不过我其实非常喜欢这个词。,0,2,1,反感贤惠,train
gender,性别,10372,婚姻给了你什么样的勇气去当家庭主妇？,勇气不是婚姻给的是自己给的，既当家庭主妇又挣钱，先是在淘宝天猫做第1代电商。,1,2,1,家庭主妇,train
gender,性别,10278,如何看待高学历女性成为全职家庭主妇？,我不是家庭主妇，我是家庭CEO！,0,1,1,家庭主妇,train
gender,性别,9659,本人女，想转行去学UI设计，请问就业前景怎么样？,UI行业处在发展期，前景很好。,0,1,1,女性职业,train
gender,性别,11528,大学女生成绩普遍比男生好吗，为什么？,普遍？ 你们学校自己的情况就成普遍了？,1,2,1,性别成绩,train
gender,性别,6653,如何判断一个妹子是不是女同/双性恋？,我发现很多女同智商和情商都很高，特别聪明有才华，文艺范十足（哈哈哈哈这是不是再夸我自己。,0,1,1,双性恋,train
gender,性别,12439,当知道自己是性少数群体后，你做了哪些努力让自己变得更优秀？,其实我遇到的同性恋都非常优秀，无论是学长或学弟。,0,1,1,性少数群体,train
gender,性别,7631,要求20多岁的女生贤惠，现实吗？,贤惠又通贤慧。 智也，达也。,0,2,1,反感贤惠,train
gender,性别,8510,如何看待女同性恋中的T?,不用看待，每个人都有自己的type。,1,2,1,女同性恋,train
gender,性别,7859,女同性恋如何做到 30 岁以后的生活不可悲？,好好工作，好好挣钱，让自己独立，顺其自然。,1,1,1,同性恋/女同性恋,train
gender,性别,11475,大学女生成绩普遍比男生好吗，为什么？,拉到吧，我们班第一是男的，高数，线代，统计，都是他带着我们班学，而且我们专业课小组合作讲评都是他分最高。,0,1,1,性别成绩,train
gender,性别,7229,为什么被称“贤惠”会很气愤？,这是赞美的词，为什么会不喜欢呢。,1,2,1,反感贤惠,train
gender,性别,9946,人生目标是做家庭主妇很丢人吗,其实我也有个做家庭主妇的目标，做一个好的家庭主妇，一定程度上就是一个贤妻良母，丈夫的好妻子，孩子的好妈妈。,0,1,1,家庭主妇,train
gender,性别,10591,想知道以男性视角，家里有位全职太太（家庭主妇）是种什么感受？,心情舒畅！ 老婆待业在家，自己经济压力是大了，但是也不可否认，自己回家后特别顺心。,1,2,1,家庭主妇,train
gender,性别,8075,有同性恋可以说说自己的故事吗？,我是一个女孩子，支持同性恋。,0,1,1,同性恋,train
gender,性别,9933,人生目标是做家庭主妇很丢人吗,看我签名，目前最大的梦想就是做一名家庭主妇。,0,1,1,家庭主妇,train
gender,性别,10388,婚姻给了你什么样的勇气去当家庭主妇？,是什么给了勇气？ 当今社会，意识开放，言论自由，婚姻也不再是父母之命媒妁之言。,1,2,1,家庭主妇,train
gender,性别,13233,为什么男性的身体（贞操）不如女性的身体（贞操）珍贵？,人都是平等的，没有谁比谁更高贵,1,2,1,歧视男性,train
gender,性别,8542,有什么辨别les的方法吗？,我来了！ 怎么说呢，我觉得不管是t还是p，她们在生活中更会照顾身边的女孩子，也更细心。,0,1,1,女同性恋,train
gender,性别,8905,三孩政策会使女性在职场中遭遇更多歧视和压力吗？应该怎样的应对？,不会，因为二孩政策已经做到了，无需三孩政策。,1,2,1,女性职业,train
gender,性别,7616,要求20多岁的女生贤惠，现实吗？,不会呀，我倒觉得贤惠是夸女孩子一个很好的词。,0,2,1,反感贤惠,train
gender,性别,13220,为什么男性的身体（贞操）不如女性的身体（贞操）珍贵？,谁说处男不高贵了？ 高贵冷艳的死宅只喜欢二次元啦~（#滑稽）,1,2,1,歧视男性,train
gender,性别,7135,为什么被称“贤惠”会很气愤？,为什么我女朋友给我煮了饭，夸我女朋友贤惠煮饭又好吃她不会生气？,0,1,1,反感贤惠,train
gender,性别,9483,怕因生孩子而耽误事业的女性，她们的事业有多好？,因为照顾孩子而放弃职业发展的女性，她们的小孩是有多出息？,1,2,1,女性职业,train
gender,性别,7835,女同性恋如何做到 30 岁以后的生活不可悲？,有什么可悲的呢？ 只要两个人经济和人格独立，相爱就不可悲。,1,2,1,同性恋,train
